"(72.0, 365.0)","(37.0, 489.0)","(143.0, 263.0)","(123.0, 541.0)","(231.0, 573.0)","(251.0, 218.0)","(330.0, 538.0)","(345.0, 224.0)","(404.0, 429.0)","(410.0, 319.0)","(409.0, 375.0)"
"(72.0, 364.0)","(37.0, 486.0)","(143.0, 262.5)","(124.0, 537.0)","(231.0, 572.0)","(251.0, 218.0)","(331.0, 537.5)","(345.5, 223.5)","(404.0, 429.0)","(410.0, 319.0)","(410.0, 375.0)"
"(73.0, 363.0)","(37.0, 484.0)","(144.0, 261.0)","(125.0, 531.5)","(232.0, 568.0)","(252.0, 217.0)","(332.0, 537.0)","(347.0, 222.5)","(406.0, 429.0)","(412.0, 318.0)","(412.0, 372.5)"
"(73.0, 362.0)","(37.0, 482.0)","(145.0, 260.0)","(128.0, 526.5)","(233.0, 564.0)","(253.0, 216.0)","(334.0, 534.0)","(349.0, 222.0)","(408.0, 427.0)","(413.0, 317.0)","(414.0, 372.0)"
"(74.0, 361.0)","(37.0, 482.0)","(145.0, 259.0)","(130.0, 522.0)","(237.0, 559.0)","(255.0, 216.0)","(337.0, 530.0)","(349.0, 220.0)","(412.0, 425.0)","(416.0, 314.0)","(417.0, 369.0)"
"(76.0, 359.0)","(37.0, 480.0)","(147.0, 257.0)","(130.0, 517.5)","(238.0, 554.0)","(255.0, 214.0)","(338.5, 526.0)","(350.0, 218.0)","(414.0, 421.0)","(418.0, 310.0)","(419.5, 365.0)"
"(76.0, 357.0)","(34.0, 476.0)","(148.0, 255.5)","(131.0, 509.0)","(236.0, 548.0)","(257.0, 212.0)","(339.0, 522.0)","(351.0, 216.0)","(416.0, 419.0)","(419.5, 308.0)","(420.0, 363.0)"
"(77.0, 355.0)","(32.0, 474.0)","(149.0, 255.0)","(130.0, 501.5)","(237.0, 540.0)","(257.5, 211.0)","(340.0, 519.0)","(352.0, 214.0)","(418.0, 417.0)","(420.0, 307.0)","(422.0, 361.5)"
"(77.0, 353.0)","(31.0, 473.0)","(149.0, 253.0)","(129.0, 495.5)","(239.0, 533.0)","(258.0, 210.0)","(341.0, 514.0)","(353.0, 212.0)","(420.0, 413.0)","(422.0, 302.0)","(424.0, 358.5)"
"(77.0, 353.0)","(31.0, 473.0)","(151.0, 253.0)","(130.0, 493.5)","(239.0, 530.0)","(259.0, 209.5)","(341.0, 511.0)","(353.0, 210.0)","(422.0, 410.0)","(424.0, 300.0)","(426.0, 355.0)"
"(77.0, 351.0)","(31.0, 472.0)","(151.0, 252.0)","(129.0, 490.0)","(239.0, 527.0)","(260.0, 208.0)","(341.0, 509.0)","(354.5, 208.0)","(422.0, 407.0)","(425.5, 297.0)","(428.0, 352.0)"
"(77.0, 350.5)","(29.0, 471.0)","(151.0, 251.0)","(129.0, 486.0)","(239.0, 522.5)","(260.0, 208.0)","(341.0, 506.0)","(355.0, 206.0)","(423.0, 407.0)","(426.0, 296.0)","(428.0, 351.0)"
"(77.0, 349.0)","(29.0, 470.0)","(151.5, 251.0)","(127.0, 480.5)","(239.0, 518.0)","(260.0, 207.0)","(341.0, 504.0)","(356.0, 206.0)","(424.0, 405.0)","(428.0, 295.0)","(430.0, 350.0)"
"(77.0, 347.0)","(23.0, 467.0)","(153.0, 249.5)","(123.0, 471.5)","(232.5, 509.0)","(262.0, 206.0)","(338.0, 499.5)","(357.0, 206.0)","(424.0, 405.0)","(429.0, 294.0)","(432.0, 349.0)"
"(78.0, 347.0)","(17.0, 467.0)","(153.0, 249.0)","(115.0, 456.0)","(228.0, 493.0)","(263.0, 206.0)","(332.0, 493.0)","(357.0, 204.0)","(424.0, 403.0)","(430.0, 293.0)","(432.0, 348.0)"
